"ID"	"adj.P.Val"	"P.Value"	"SPOT_ID"
"hsa-miR-517a;hsa-miR-517b"	"1.67e-07"	"7.12e-08"	""
"hsa-miR-599"	"1.77e-07"	"7.56e-08"	""
"hsa-miR-628-3p"	"1.84e-07"	"7.87e-08"	""
"hsa-miR-487b"	"1.84e-07"	"7.92e-08"	""
"hsa-miR-760"	"1.84e-07"	"7.95e-08"	""
"hsa-miR-548d-3p"	"1.87e-07"	"8.11e-08"	""
"hsa-miR-216b"	"1.87e-07"	"8.14e-08"	""
"hsa-miR-520d-3p"	"1.87e-07"	"8.15e-08"	""
"hsa-miR-132*"	"1.88e-07"	"8.21e-08"	"NA"
"hsa-miR-188-3p"	"1.95e-07"	"8.53e-08"	""
"hsa-miR-455-3p"	"1.95e-07"	"8.56e-08"	""
"hsa-miR-302c"	"1.97e-07"	"8.68e-08"	""
"hsa-miR-639"	"1.97e-07"	"8.71e-08"	""
"hsa-miR-424*"	"1.97e-07"	"8.74e-08"	""
"hsa-miR-208a"	"2.05e-07"	"9.13e-08"	""
"hsa-miR-1233"	"2.08e-07"	"9.26e-08"	"NA"
"hsa-miR-887"	"2.15e-07"	"9.61e-08"	""
"hsa-miR-141*"	"2.18e-07"	"9.79e-08"	"NA"
"hsa-miR-380*"	"2.19e-07"	"9.85e-08"	""
"hsa-miR-143*"	"2.24e-07"	"1.01e-07"	"NA"
"hsa-miR-27a*"	"2.30e-07"	"1.04e-07"	""
"hsa-miR-191*"	"2.33e-07"	"1.06e-07"	""
"hsa-miR-801"	"2.39e-07"	"1.09e-07"	""
"hsa-miR-550*"	"2.39e-07"	"1.09e-07"	""
"hsa-miR-662"	"2.41e-07"	"1.10e-07"	""
"hsa-miR-767-5p"	"2.44e-07"	"1.12e-07"	""
"hsa-miR-29b-1*"	"2.45e-07"	"1.13e-07"	""
"hsa-miR-561"	"2.47e-07"	"1.14e-07"	""
"hsa-miR-148a*"	"2.49e-07"	"1.15e-07"	""
"hsa-miR-345"	"2.55e-07"	"1.19e-07"	""
"hsa-miR-124*"	"2.60e-07"	"1.21e-07"	"NA"
"hsa-miR-412"	"2.60e-07"	"1.22e-07"	""
"hsa-miR-591"	"2.60e-07"	"1.22e-07"	""
"hsa-miR-148b*"	"2.65e-07"	"1.24e-07"	""
"hsa-miR-195*"	"2.79e-07"	"1.32e-07"	""
"hsa-miR-297"	"2.86e-07"	"1.35e-07"	""
"hsa-miR-507"	"3.08e-07"	"1.46e-07"	""
"hsa-miR-566"	"3.22e-07"	"1.53e-07"	""
"hsa-miR-508-5p"	"3.32e-07"	"1.58e-07"	""
"hsa-miR-367"	"3.34e-07"	"1.60e-07"	""
